Country,Lat,Long,Date,Confirmed,Deaths,Recovered,Num_days_from_begin,Num_days_from_begin_norm
Diamond Princess,0.3863515067015417,0.3956553981703188,2020-01-23,0,0,0,1.0,0.5
Djibouti,0.498052684725737,0.5402049609440625,2020-01-23,0,0,0,1.0,0.5
Dominica,0.5319632697515768,0.18736498422659398,2020-01-23,0,0,0,1.0,0.5
Dominican Republic,0.5633309623600914,0.15752634981833852,2020-01-23,0,0,0,1.0,0.5
Ecuador,0.36905379275426803,0.13030445473567026,2020-01-23,0,0,0,1.0,0.5
Egypt,0.6319503285828854,0.49747404897137704,2020-01-23,0,0,0,1.0,0.5
El Salvador,0.5166530170398352,0.0939446751391097,2020-01-23,0,0,0,1.0,0.5
Equatorial Guinea,0.40052066950238846,0.4295949484373382,2020-01-23,0,0,0,1.0,0.5
Eritrea,0.5297377665809905,0.5306747352290835,2020-01-23,0,0,0,1.0,0.5
Estonia,0.9398490700778455,0.48055043162623046,2020-01-23,0,0,0,1.0,0.5
Eswatini,0.1358170931112364,0.5024492476450194,2020-01-23,0,0,0,1.0,0.5
Ethiopia,0.4727361692440374,0.5330756190149724,2020-01-23,0,0,0,1.0,0.5
Fiji,0.21902880779719583,1.0,2020-01-23,0,0,0,1.0,0.5
Finland,0.9909024528710031,0.4838982288645693,2020-01-23,0,0,0,1.0,0.5
France,0.8230224335631573,0.4031685964129289,2020-01-23,0,0,0,1.0,0.5
Gabon,0.37875966927284804,0.43505717965731233,2020-01-23,0,0,0,1.0,0.5
Gambia,0.5133374329444371,0.3436936073160094,2020-01-23,0,0,0,1.0,0.5
Georgia,0.7860673677568422,0.5428067668675323,2020-01-23,0,0,0,1.0,0.5
Germany,0.8681030419303313,0.4262009934106363,2020-01-23,0,0,0,1.0,0.5
Ghana,0.4614150081661609,0.3921827033869974,2020-01-23,0,0,0,1.0,0.5
Greece,0.7554506407767725,0.46972609085956996,2020-01-23,0,0,0,1.0,0.5
Grenada,0.5008052807525148,0.1863196460783698,2020-01-23,0,0,0,1.0,0.5
Guatemala,0.5354441607463182,0.08941612094698131,2020-01-23,0,0,0,1.0,0.5
Guinea,0.480298723736276,0.3627455738584008,2020-01-23,0,0,0,1.0,0.5
Guinea-Bissau,0.4978505380031116,0.34413380328297266,2020-01-23,0,0,0,1.0,0.5
Guyana,0.4335820493710309,0.19626054035157978,2020-01-23,0,0,0,1.0,0.5
